(-162.5, -0.1, 67.2)
(-158.1, -0.1, 67.3)
(-157.9, -0.1, 67.3)
(-157.5, -0.1, 67.4)
(-157.3, -0.1, 67.4)
(-154.4, -0.1, 67.5)
(-154.2, -0.1, 67.5)
(-151.3, -0.1, 67.6)
(-151.1, -0.1, 67.6)
(-148.2, -0.1, 67.7)
(-148.0, -0.1, 67.7)
(-145.1, -0.1, 67.8)
(-144.9, -0.1, 67.8)
(-142.0, -0.1, 67.9)
(-141.8, -0.1, 67.9)
(-138.9, -0.1, 68.0)
(-138.7, -0.1, 68.0)
(-135.8, -0.1, 68.1)
(-135.6, -0.1, 68.1)
(-132.7, -0.1, 68.2)
(-132.5, -0.1, 68.2)
(-129.6, -0.1, 68.3)
(-129.4, -0.1, 68.3)
(-126.5, -0.1, 68.4)
(-126.3, -0.1, 68.4)
(-123.4, -0.1, 68.5)
(-123.2, -0.1, 68.5)
(-120.3, -0.1, 68.6)
(-120.1, -0.1, 68.6)
(-117.2, -0.1, 68.7)
(-117.0, -0.1, 68.7)
(-113.9, -0.1, 68.8)
(-113.6, -0.1, 68.8)
(-110.7, -0.1, 68.9)
(-110.5, -0.1, 68.9)
(-107.7, -0.1, 69.0)
(-107.4, -0.1, 69.0)
(-104.6, -0.1, 69.1)
(-104.3, -0.1, 69.1)
(-101.4, -0.1, 69.2)
(-101.2, -0.1, 69.2)
(-98.3, -0.1, 69.3)
(-98.1, -0.1, 69.3)
(-95.2, -0.1, 69.4)
(-95.0, -0.1, 69.4)
(-92.2, -0.1, 69.5)
(-91.9, -0.1, 69.5)
(-89.0, -0.1, 69.6)
(-88.8, -0.1, 69.6)
(-85.9, -0.1, 69.7)
(-85.7, -0.1, 69.7)
(-82.8, -0.1, 69.8)
(-82.6, -0.1, 69.8)
(-79.7, -0.1, 69.9)
(-79.5, -0.1, 69.9)
(-76.6, -0.1, 70.0)
(-76.4, -0.1, 70.0)
(-73.5, -0.1, 70.1)
(-73.3, -0.1, 70.1)
(-70.5, -0.1, 70.2)
(-70.2, -0.1, 70.2)
(-67.3, -0.1, 70.3)
(-67.0, -0.1, 70.3)
(-64.2, -0.1, 70.4)
(-63.9, -0.1, 70.4)
(-61.1, -0.1, 70.5)
(-60.8, -0.1, 70.5)
(-58.0, -0.1, 70.6)
(-57.8, -0.1, 70.6)
(-54.9, -0.1, 70.7)
(-54.6, -0.1, 70.7)
(-51.8, -0.1, 70.8)
(-51.6, -0.1, 70.8)
(-48.7, -0.1, 70.9)
(-48.5, -0.1, 70.9)
(-45.6, -0.1, 71.0)
(-45.4, -0.1, 71.0)
(-42.5, -0.1, 71.1)
(-42.2, -0.1, 71.1)
(-39.4, -0.1, 71.2)
(-39.1, -0.1, 71.2)
(-36.3, -0.1, 71.3)
(-36.1, -0.1, 71.3)
(-33.2, -0.1, 71.4)
(-32.9, -0.1, 71.4)
(-30.1, -0.1, 71.5)
(-29.8, -0.1, 71.5)
(-26.9, -0.1, 71.6)
(-26.7, -0.1, 71.6)
(-23.8, -0.1, 71.7)
(-23.6, -0.1, 71.7)
(-20.8, -0.1, 71.8)
(-20.5, -0.1, 71.8)
(-17.6, -0.1, 71.9)
(-17.4, -0.1, 71.9)
(-14.5, -0.1, 72.0)
(-14.4, -0.1, 72.0)
(-11.4, -0.1, 72.1)
(-11.2, -0.1, 72.1)
(-8.3, -0.1, 72.2)
(-8.1, -0.1, 72.2)
(-5.0, -0.1, 72.3)
(-4.8, -0.1, 72.3)
(-2.1, -0.1, 72.4)
(-1.9, -0.1, 72.4)
(1.2, -0.1, 72.5)
(1.4, -0.1, 72.5)
(4.3, -0.1, 72.6)
(4.6, -0.1, 72.6)
(7.4, -0.1, 72.7)
(7.7, -0.1, 72.7)
(10.5, -0.1, 72.8)
(10.7, -0.1, 72.8)
(13.6, -0.1, 72.9)
(13.9, -0.1, 72.9)
(16.7, -0.1, 73.0)
(17.0, -0.1, 73.0)
(19.8, -0.1, 73.1)
(20.1, -0.1, 73.1)
(22.9, -0.1, 73.2)
(23.2, -0.1, 73.2)
(26.0, -0.1, 73.3)
(26.3, -0.1, 73.3)
(29.1, -0.1, 73.4)
