(-162.5, -0.1, 67.2)
(-162.3, -0.1, 67.2)
(-162.1, -0.1, 67.2)
(-161.9, -0.1, 67.2)
(-161.7, -0.1, 67.2)
(-161.5, -0.1, 67.2)
(-161.3, -0.1, 67.2)
(-161.1, -0.1, 67.2)
(-160.9, -0.1, 67.2)
(-160.7, -0.1, 67.2)
(-160.5, -0.1, 67.2)
(-160.3, -0.1, 67.2)
(-160.1, -0.1, 67.2)
(-159.9, -0.1, 67.2)
(-159.7, -0.1, 67.2)
(-159.5, -0.1, 67.2)
(-159.3, -0.1, 67.2)
(-159.1, -0.1, 67.2)
(-158.9, -0.1, 67.2)
(-158.7, -0.1, 67.2)
(-158.5, -0.1, 67.2)
(-158.3, -0.1, 67.2)
(-158.1, -0.1, 67.2)
(-157.9, -0.1, 67.2)
(-157.7, -0.1, 67.2)
(-157.5, -0.1, 67.2)
(-157.3, -0.1, 67.2)
(-157.1, -0.1, 67.2)
(-156.9, -0.1, 67.2)
(-156.7, -0.1, 67.2)
(-156.5, -0.1, 67.2)
(-156.3, -0.1, 67.2)
(-156.1, -0.1, 67.2)
(-155.9, -0.1, 67.2)
(-155.7, -0.1, 67.2)
(-155.5, -0.1, 67.2)
(-155.3, -0.1, 67.2)
(-155.1, -0.1, 67.2)
(-154.9, -0.1, 67.2)
(-154.7, -0.1, 67.2)
(-154.5, -0.1, 67.2)
(-154.3, -0.1, 67.2)
(-154.1, -0.1, 67.2)
(-153.9, -0.1, 67.2)
(-153.7, -0.1, 67.2)
(-153.5, -0.1, 67.2)
(-153.3, -0.1, 67.2)
(-153.1, -0.1, 67.2)
(-152.9, -0.1, 67.2)
(-152.7, -0.1, 67.2)
(-152.5, -0.1, 67.2)
(-152.3, -0.1, 67.2)
(-152.1, -0.1, 67.2)
(-151.9, -0.1, 67.2)
(-151.7, -0.1, 67.2)
(-151.5, -0.1, 67.2)
(-151.3, -0.1, 67.2)
(-151.1, -0.1, 67.2)
(-150.9, -0.1, 67.2)
(-150.7, -0.1, 67.2)
(-150.5, -0.1, 67.2)
(-150.3, -0.1, 67.2)
(-150.1, -0.1, 67.2)
(-149.9, -0.1, 67.2)
(-149.7, -0.1, 67.2)
(-149.5, -0.1, 67.2)
(-149.3, -0.1, 67.2)
(-149.1, -0.1, 67.2)
(-148.9, -0.1, 67.2)
(-148.7, -0.1, 67.2)
(-148.5, -0.1, 67.2)
(-148.3, -0.1, 67.2)
(-148.1, -0.1, 67.2)
(-147.9, -0.1, 67.2)
(-147.7, -0.1, 67.2)
(-147.5, -0.1, 67.2)
(-147.3, -0.1, 67.2)
(-147.1, -0.1, 67.2)
(-146.9, -0.1, 67.2)
(-146.7, -0.1, 67.2)
(-146.5, -0.1, 67.2)
(-146.3, -0.1, 67.2)
(-146.1, -0.1, 67.2)
(-145.9, -0.1, 67.2)
(-145.7, -0.1, 67.2)
(-145.5, -0.1, 67.2)
(-145.3, -0.1, 67.2)
(-145.1, -0.1, 67.2)
(-144.9, -0.1, 67.2)
(-144.7, -0.1, 67.2)
(-144.5, -0.1, 67.2)
(-144.3, -0.1, 67.2)
(-144.1, -0.1, 67.2)
(-143.9, -0.1, 67.2)
(-143.7, -0.1, 67.2)
(-143.5, -0.1, 67.2)
(-143.3, -0.1, 67.2)
(-143.1, -0.1, 67.2)
(-142.9, -0.1, 67.2)
(-142.7, -0.1, 67.2)
(-142.5, -0.1, 67.2)
(-142.3, -0.1, 67.2)
